msa,category,cumulative biden rpp percent change,"totalvotes, 2020","totalvotes, 2024","trump votecount, 2020","trump votecount, 2024","trump %, 2020","trump %, 2024",2020-2024 swing,_merge
aberdeen,,,57973.0,56867.0,31995.0,31695.0,55.18948476014697,55.7353122197408,0.5458274595938306,right_only
abilene,all items,1.5047909889574889,68708.0,69352.0,51219.0,53366.0,74.54590440705596,76.94947514130811,2.403570734252156,both
abilene,goods,-2.830737279335409,68708.0,69352.0,51219.0,53366.0,74.54590440705596,76.94947514130811,2.403570734252156,both
abilene,housing,14.112555422725977,68708.0,69352.0,51219.0,53366.0,74.54590440705596,76.94947514130811,2.403570734252156,both
abilene,other services,-2.223362924492223,68708.0,69352.0,51219.0,53366.0,74.54590440705596,76.94947514130811,2.403570734252156,both
abilene,utilities,1.5597859665893306,68708.0,69352.0,51219.0,53366.0,74.54590440705596,76.94947514130811,2.403570734252156,both
ada,,,15320.0,15174.0,10805.0,10967.0,70.52872062663185,72.27494398312903,1.7462233564971825,right_only
adrian,,,53375.0,55093.0,31541.0,33463.0,59.09320843091335,60.73911386201514,1.645905431101788,right_only
akron,all items,-1.5517056999251495,363345.0,358073.0,170823.0,173591.0,47.01399496346448,48.47922071756317,1.4652257540986966,both
akron,goods,-1.795136927160504,363345.0,358073.0,170823.0,173591.0,47.01399496346448,48.47922071756317,1.4652257540986966,both
akron,housing,-6.421188946172454,363345.0,358073.0,170823.0,173591.0,47.01399496346448,48.47922071756317,1.4652257540986966,both
akron,other services,0.041010078226716,363345.0,358073.0,170823.0,173591.0,47.01399496346448,48.47922071756317,1.4652257540986966,both
akron,utilities,-1.8468557390713052,363345.0,358073.0,170823.0,173591.0,47.01399496346448,48.47922071756317,1.4652257540986966,both
alamogordo,,,23571.0,24242.0,14521.0,15117.0,61.605362521742826,62.35871627753485,0.7533537557920269,right_only
alamosa,,,14235.0,13703.0,6840.0,7265.0,48.050579557428875,53.01758738962271,4.967007832193836,right_only
albany,all items,2.959158135599268,138366.0,136674.0,74781.0,74703.0,54.045791596201376,54.657798849817816,0.61200725361644,both
albany,goods,0.0262478214308272,138366.0,136674.0,74781.0,74703.0,54.045791596201376,54.657798849817816,0.61200725361644,both
albany,housing,0.8619999999999948,138366.0,136674.0,74781.0,74703.0,54.045791596201376,54.657798849817816,0.61200725361644,both
albany,other services,4.5145421865310045,138366.0,136674.0,74781.0,74703.0,54.045791596201376,54.657798849817816,0.61200725361644,both
albany,utilities,-0.1151770435698345,138366.0,136674.0,74781.0,74703.0,54.045791596201376,54.657798849817816,0.61200725361644,both
albany-lebanon,all items,2.07335278219551,,,,,,,,left_only
albany-lebanon,goods,4.47493747544534,,,,,,,,left_only
albany-lebanon,housing,-6.191184693094267,,,,,,,,left_only
albany-lebanon,other services,4.1644250503118405,,,,,,,,left_only
albany-lebanon,utilities,-7.945389906809434,,,,,,,,left_only
albany-schenectady-troy,all items,-2.578718510073747,459436.0,439725.0,189530.0,195786.0,41.25275337587825,44.5246460856217,3.2718927097434474,both
albany-schenectady-troy,goods,-2.126385449230643,459436.0,439725.0,189530.0,195786.0,41.25275337587825,44.5246460856217,3.2718927097434474,both
albany-schenectady-troy,housing,-3.273373771177588,459436.0,439725.0,189530.0,195786.0,41.25275337587825,44.5246460856217,3.2718927097434474,both
albany-schenectady-troy,other services,-2.8322834091890994,459436.0,439725.0,189530.0,195786.0,41.25275337587825,44.5246460856217,3.2718927097434474,both
albany-schenectady-troy,utilities,-0.44727179316702653,459436.0,439725.0,189530.0,195786.0,41.25275337587825,44.5246460856217,3.2718927097434474,both
albemarle,,,33939.0,36714.0,25458.0,27518.0,75.01104923539292,74.95233425941058,-0.058714975982340434,right_only
albert lea,,,16818.0,16704.0,9578.0,10003.0,56.950885955523844,59.883860153256705,2.932974197732861,right_only
albertville,,,39655.0,40388.0,33191.0,34434.0,83.69940738872778,85.25799742497772,1.5585900362499387,right_only
albuquerque,all items,-0.8157022686719355,433710.0,430840.0,172445.0,179304.0,39.76043900302045,41.617305728344625,1.8568667253241742,both
albuquerque,goods,0.5908312882803072,433710.0,430840.0,172445.0,179304.0,39.76043900302045,41.617305728344625,1.8568667253241742,both
albuquerque,housing,2.871629461177883,433710.0,430840.0,172445.0,179304.0,39.76043900302045,41.617305728344625,1.8568667253241742,both
albuquerque,other services,-3.406348907900107,433710.0,430840.0,172445.0,179304.0,39.76043900302045,41.617305728344625,1.8568667253241742,both
albuquerque,utilities,-0.1040620066025588,433710.0,430840.0,172445.0,179304.0,39.76043900302045,41.617305728344625,1.8568667253241742,both
alexander city,,,20991.0,20023.0,14963.0,14884.0,71.28293077985803,74.3345153073965,3.0515845275384663,right_only
alexandria,all items,-1.3813861930049531,24165.0,25106.0,15799.0,16726.0,65.37968135733499,66.62152473512309,1.2418433777881006,both
alexandria,goods,-0.7423936378345776,24165.0,25106.0,15799.0,16726.0,65.37968135733499,66.62152473512309,1.2418433777881006,both
alexandria,housing,-13.24783236994219,24165.0,25106.0,15799.0,16726.0,65.37968135733499,66.62152473512309,1.2418433777881006,both
alexandria,other services,-2.0669083750966735,24165.0,25106.0,15799.0,16726.0,65.37968135733499,66.62152473512309,1.2418433777881006,both
alexandria,utilities,9.437838264923164,24165.0,25106.0,15799.0,16726.0,65.37968135733499,66.62152473512309,1.2418433777881006,both
alice,,,16153.0,15670.0,8451.0,8713.0,52.31845477620256,55.60306317804723,3.2846084018446717,right_only
allentown-bethlehem-easton,all items,-1.64810913832882,450071.0,464375.0,224866.0,240504.0,49.96233927535877,51.79090174966353,1.8285624743047606,both
