county_code,county,msa_code,msa,csa_code,csa_title,msa_name,states,types,first_town,state_abbr,msa_short
45039,"Fairfield County, South Carolina",C1790,"Columbia, SC MSA",CS192,"Columbia-Sumter-Orangeburg, SC CSA",Columbia,SC,MSA,Columbia,SC,"Columbia, SC"
45041,"Florence County, South Carolina",C2250,"Florence, SC MSA",,,Florence,SC,MSA,Florence,SC,"Florence, SC"
45045,"Greenville County, South Carolina",C2486,"Greenville-Anderson-Greer, SC MSA",CS273,"Greenville-Spartanburg-Anderson, SC CSA",Greenville-Anderson-Greer,SC,MSA,Greenville,SC,"Greenville, SC"
45051,"Horry County, South Carolina",C3482,"Myrtle Beach-Conway-North Myrtle Beach, SC MSA",CS396,"Myrtle Beach-Conway, SC CSA",Myrtle Beach-Conway-North Myrtle Beach,SC,MSA,Myrtle Beach,SC,"Myrtle Beach, SC"
45053,"Jasper County, South Carolina",C2594,"Hilton Head Island-Bluffton-Port Royal, SC MSA",,,Hilton Head Island-Bluffton-Port Royal,SC,MSA,Hilton Head Island,SC,"Hilton Head Island, SC"
45055,"Kershaw County, South Carolina",C1790,"Columbia, SC MSA",CS192,"Columbia-Sumter-Orangeburg, SC CSA",Columbia,SC,MSA,Columbia,SC,"Columbia, SC"
45057,"Lancaster County, South Carolina",C1674,"Charlotte-Concord-Gastonia, NC-SC MSA",CS172,"Charlotte-Concord, NC-SC CSA",Charlotte-Concord-Gastonia,NC-SC,MSA,Charlotte,NC,"Charlotte, NC"
45059,"Laurens County, South Carolina",C2486,"Greenville-Anderson-Greer, SC MSA",CS273,"Greenville-Spartanburg-Anderson, SC CSA",Greenville-Anderson-Greer,SC,MSA,Greenville,SC,"Greenville, SC"
45063,"Lexington County, South Carolina",C1790,"Columbia, SC MSA",CS192,"Columbia-Sumter-Orangeburg, SC CSA",Columbia,SC,MSA,Columbia,SC,"Columbia, SC"
45077,"Pickens County, South Carolina",C2486,"Greenville-Anderson-Greer, SC MSA",CS273,"Greenville-Spartanburg-Anderson, SC CSA",Greenville-Anderson-Greer,SC,MSA,Greenville,SC,"Greenville, SC"
45079,"Richland County, South Carolina",C1790,"Columbia, SC MSA",CS192,"Columbia-Sumter-Orangeburg, SC CSA",Columbia,SC,MSA,Columbia,SC,"Columbia, SC"
45081,"Saluda County, South Carolina",C1790,"Columbia, SC MSA",CS192,"Columbia-Sumter-Orangeburg, SC CSA",Columbia,SC,MSA,Columbia,SC,"Columbia, SC"
45083,"Spartanburg County, South Carolina",C4390,"Spartanburg, SC MSA",CS273,"Greenville-Spartanburg-Anderson, SC CSA",Spartanburg,SC,MSA,Spartanburg,SC,"Spartanburg, SC"
45085,"Sumter County, South Carolina",C4494,"Sumter, SC MSA",CS192,"Columbia-Sumter-Orangeburg, SC CSA",Sumter,SC,MSA,Sumter,SC,"Sumter, SC"
45087,"Union County, South Carolina",C4390,"Spartanburg, SC MSA",CS273,"Greenville-Spartanburg-Anderson, SC CSA",Spartanburg,SC,MSA,Spartanburg,SC,"Spartanburg, SC"
45091,"York County, South Carolina",C1674,"Charlotte-Concord-Gastonia, NC-SC MSA",CS172,"Charlotte-Concord, NC-SC CSA",Charlotte-Concord-Gastonia,NC-SC,MSA,Charlotte,NC,"Charlotte, NC"
46033,"Custer County, South Dakota",C3966,"Rapid City, SD MSA",CS452,"Rapid City-Spearfish, SD CSA",Rapid City,SD,MSA,Rapid City,SD,"Rapid City, SD"
46083,"Lincoln County, South Dakota",C4362,"Sioux Falls, SD-MN MSA",,,Sioux Falls,SD-MN,MSA,Sioux Falls,SD,"Sioux Falls, SD"
46087,"McCook County, South Dakota",C4362,"Sioux Falls, SD-MN MSA",,,Sioux Falls,SD-MN,MSA,Sioux Falls,SD,"Sioux Falls, SD"
46093,"Meade County, South Dakota",C3966,"Rapid City, SD MSA",CS452,"Rapid City-Spearfish, SD CSA",Rapid City,SD,MSA,Rapid City,SD,"Rapid City, SD"
46099,"Minnehaha County, South Dakota",C4362,"Sioux Falls, SD-MN MSA",,,Sioux Falls,SD-MN,MSA,Sioux Falls,SD,"Sioux Falls, SD"
46103,"Pennington County, South Dakota",C3966,"Rapid City, SD MSA",CS452,"Rapid City-Spearfish, SD CSA",Rapid City,SD,MSA,Rapid City,SD,"Rapid City, SD"
46125,"Turner County, South Dakota",C4362,"Sioux Falls, SD-MN MSA",,,Sioux Falls,SD-MN,MSA,Sioux Falls,SD,"Sioux Falls, SD"
46127,"Union County, South Dakota",C4358,"Sioux City, IA-NE-SD MSA",CS512,"Sioux City-Le Mars, IA-NE-SD CSA",Sioux City,IA-NE-SD,MSA,Sioux City,IA,"Sioux City, IA"
47001,"Anderson County, Tennessee",C2894,"Knoxville, TN MSA",CS315,"Knoxville-Morristown-Sevierville, TN CSA",Knoxville,TN,MSA,Knoxville,TN,"Knoxville, TN"
47009,"Blount County, Tennessee",C2894,"Knoxville, TN MSA",CS315,"Knoxville-Morristown-Sevierville, TN CSA",Knoxville,TN,MSA,Knoxville,TN,"Knoxville, TN"
