GeoFips,GeoName,LineCode,Description,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,rpp_change_20_22,msa,state,msa_short
10540,"albany-lebanon, or (metropolitan statistical area)",3.0,  rpps: services: housing,91.896,104.562,93.066,86.582,95.024,93.456,101.912,91.42,98.352,93.069,102.133,104.93,105.521,101.311,98.988,-6.191184693094267,albany-lebanon,or,albany
10540,"albany-lebanon, or (metropolitan statistical area)",4.0,  rpps: services: utilities,72.68,78.094,83.877,89.135,87.674,86.063,87.714,88.682,94.016,88.972,92.285,95.493,95.074,96.601,87.52,-7.945389906809434,albany-lebanon,or,albany
10540,"albany-lebanon, or (metropolitan statistical area)",5.0,  rpps: services: other,102.465,99.848,97.852,99.377,97.616,99.701,99.047,98.988,95.981,100.004,103.503,101.871,100.374,99.095,104.554,4.1644250503118405,albany-lebanon,or,albany
10580,"albany-schenectady-troy, ny (metropolitan statistical area)",1.0,rpps: all items,102.702,102.243,99.947,100.752,99.537,101.729,99.398,100.813,101.234,100.7,99.785,99.699,99.119,99.088,96.563,-2.578718510073747,albany-schenectady-troy,ny,albany
10580,"albany-schenectady-troy, ny (metropolitan statistical area)",2.0,  rpps: goods,101.337,101.527,98.336,98.033,96.955,97.102,97.027,98.772,98.187,98.469,100.143,97.155,98.524,95.437,96.429,-2.126385449230643,albany-schenectady-troy,ny,albany
10580,"albany-schenectady-troy, ny (metropolitan statistical area)",3.0,  rpps: services: housing,104.625,101.239,96.824,106.35,100.506,108.514,104.965,98.828,101.861,94.298,101.486,104.693,95.62,100.24,92.49,-3.273373771177588,albany-schenectady-troy,ny,albany
10580,"albany-schenectady-troy, ny (metropolitan statistical area)",4.0,  rpps: services: utilities,143.349,141.723,140.497,138.014,130.999,135.191,136.181,126.35,125.363,128.088,135.205,132.404,132.358,133.285,131.766,-0.44727179316702653,albany-schenectady-troy,ny,albany
10580,"albany-schenectady-troy, ny (metropolitan statistical area)",5.0,  rpps: services: other,101.171,101.348,100.183,99.528,99.769,101.565,98.162,101.596,101.992,102.8,98.218,98.854,99.531,99.966,96.712,-2.8322834091890994,albany-schenectady-troy,ny,albany
10740,"albuquerque, nm (metropolitan statistical area)",1.0,rpps: all items,96.951,99.03,97.411,100.439,99.593,98.316,98.456,96.757,96.592,98.087,93.886,95.069,94.152,92.193,93.384,-0.8157022686719355,albuquerque,nm,albuquerque
10740,"albuquerque, nm (metropolitan statistical area)",2.0,  rpps: goods,95.837,101.257,97.364,98.556,99.925,98.055,96.807,96.121,95.012,100.087,96.168,99.232,96.982,96.817,97.555,0.5908312882803072,albuquerque,nm,albuquerque
10740,"albuquerque, nm (metropolitan statistical area)",3.0,  rpps: services: housing,96.454,91.585,90.897,96.765,91.22,92.86,93.899,88.366,91.625,90.016,86.269,82.984,86.188,84.391,88.663,2.8716294611778834,albuquerque,nm,albuquerque
10740,"albuquerque, nm (metropolitan statistical area)",4.0,  rpps: services: utilities,85.067,82.331,92.058,94.529,96.836,94.932,100.902,98.122,91.403,90.834,81.276,80.446,83.604,81.46,83.517,-0.10406200660255885,albuquerque,nm,albuquerque
10740,"albuquerque, nm (metropolitan statistical area)",5.0,  rpps: services: other,98.909,101.308,100.134,103.648,102.563,100.718,101.164,100.14,99.669,99.865,95.476,97.271,95.733,91.927,92.472,-3.406348907900107,albuquerque,nm,albuquerque
10780,"alexandria, la (metropolitan statistical area)",1.0,rpps: all items,89.656,86.149,89.013,86.975,90.287,91.513,90.759,90.269,92.124,90.539,87.47,89.084,87.376,89.335,86.169,-1.3813861930049531,alexandria,la,alexandria
10780,"alexandria, la (metropolitan statistical area)",2.0,  rpps: goods,96.811,94.537,96.779,96.463,96.344,96.704,97.11,96.085,96.691,96.52,93.542,95.052,94.559,95.153,93.857,-0.7423936378345776,alexandria,la,alexandria
10780,"alexandria, la (metropolitan statistical area)",3.0,  rpps: services: housing,58.399,53.184,56.642,50.139,61.049,66.364,63.494,60.418,62.499,61.68,55.219,61.963,55.36,56.792,48.026,-13.24783236994219,alexandria,la,alexandria
10780,"alexandria, la (metropolitan statistical area)",4.0,  rpps: services: utilities,88.863,72.602,79.417,77.814,73.923,79.481,79.661,77.708,77.239,76.799,75.89,76.542,75.939,80.271,83.106,9.437838264923165,alexandria,la,alexandria
10780,"alexandria, la (metropolitan statistical area)",5.0,  rpps: services: other,98.043,97.521,99.056,100.405,100.993,100.45,100.392,100.961,102.109,100.189,98.287,97.132,99.569,98.907,97.511,-2.0669083750966735,alexandria,la,alexandria
10900,"allentown-bethlehem-easton, pa-nj (metropolitan statistical area)",1.0,rpps: all items,101.139,102.531,101.219,99.933,99.972,100.841,99.599,101.021,101.174,101.735,99.159,99.231,99.69,98.054,98.047,-1.64810913832882,allentown-bethlehem-easton,pa-nj,allentown
10900,"allentown-bethlehem-easton, pa-nj (metropolitan statistical area)",2.0,  rpps: goods,101.261,101.447,98.193,98.271,98.555,99.017,98.661,100.039,99.221,99.855,100.461,97.23,98.767,95.658,97.557,-1.2251055514493645,allentown-bethlehem-easton,pa-nj,allentown
10900,"allentown-bethlehem-easton, pa-nj (metropolitan statistical area)",3.0,  rpps: services: housing,100.083,104.307,108.515,102.138,103.75,101.258,103.55,102.364,103.04,99.578,99.003,102.915,101.447,96.07,102.924,1.4559326544895401,allentown-bethlehem-easton,pa-nj,allentown
10900,"allentown-bethlehem-easton, pa-nj (metropolitan statistical area)",4.0,  rpps: services: utilities,113.557,116.178,112.441,114.028,108.285,107.089,105.253,104.75,108.003,111.167,113.053,113.394,110.477,107.946,107.937,-2.299121084026545,allentown-bethlehem-easton,pa-nj,allentown
10900,"allentown-bethlehem-easton, pa-nj (metropolitan statistical area)",5.0,  rpps: services: other,100.794,102.097,100.66,99.781,99.403,101.612,98.855,101.064,101.583,103.087,97.925,98.921,99.295,99.942,96.618,-2.6960068482803834,allentown-bethlehem-easton,pa-nj,allentown
11020,"altoona, pa (metropolitan statistical area)",1.0,rpps: all items,93.979,91.858,93.855,93.538,92.315,92.814,89.389,92.58,91.55,91.208,91.313,90.782,89.687,89.177,89.014,-0.7503874586060431,altoona,pa,altoona
11020,"altoona, pa (metropolitan statistical area)",2.0,  rpps: goods,101.025,101.088,98.048,97.825,97.683,97.847,97.952,99.354,98.543,99.485,100.465,97.219,98.725,95.681,97.668,-1.0706507976702841,altoona,pa,altoona
11020,"altoona, pa (metropolitan statistical area)",3.0,  rpps: services: housing,61.009,55.076,69.495,70.53,64.93,60.945,54.609,58.955,58.65,54.066,58.662,56.563,54.099,55.797,53.618,-0.8891107044492403,altoona,pa,altoona
11020,"altoona, pa (metropolitan statistical area)",4.0,  rpps: services: utilities,113.907,118.838,110.381,112.459,106.179,105.668,104.417,103.926,106.999,111.584,113.795,114.932,110.74,108.913,109.206,-1.385226657034488,altoona,pa,altoona
11020,"altoona, pa (metropolitan statistical area)",5.0,  rpps: services: other,101.318,101.628,100.176,98.963,98.866,101.437,97.869,100.54,101.118,102.544,97.936,98.943,99.289,99.964,96.562,-2.746527812748647,altoona,pa,altoona
11100,"amarillo, tx (metropolitan statistical area)",1.0,rpps: all items,95.758,93.48,94.908,96.365,96.146,96.434,96.303,96.972,97.18,96.153,93.249,94.112,94.532,93.587,91.776,-2.9154148859645415,amarillo,tx,amarillo
11100,"amarillo, tx (metropolitan statistical area)",2.0,  rpps: goods,96.973,95.047,96.526,96.701,96.922,97.054,97.284,96.599,96.933,96.916,94.361,96.12,96.3,96.283,93.574,-2.830737279335409,amarillo,tx,amarillo
11100,"amarillo, tx (metropolitan statistical area)",3.0,  rpps: services: housing,86.014,80.031,79.57,85.279,83.893,85.585,83.862,87.451,85.106,85.537,80.084,84.228,80.039,77.183,74.712,-6.655505441097463,amarillo,tx,amarillo
11100,"amarillo, tx (metropolitan statistical area)",4.0,  rpps: services: utilities,97.972,92.525,94.278,89.862,89.051,90.257,93.767,91.678,88.627,85.024,84.928,86.42,87.219,87.304,90.509,3.772113874270522,amarillo,tx,amarillo
11100,"amarillo, tx (metropolitan statistical area)",5.0,  rpps: services: other,98.229,97.701,99.538,100.494,100.555,100.166,100.213,100.889,102.141,100.26,97.839,96.876,99.354,98.246,97.145,-2.223362924492223,amarillo,tx,amarillo
11180,"ames, ia (metropolitan statistical area)",1.0,rpps: all items,82.432,90.016,92.962,91.743,92.37,94.601,93.047,90.133,88.865,89.858,93.941,95.994,93.372,91.504,88.45,-5.271387568007537,ames,ia,ames
11180,"ames, ia (metropolitan statistical area)",2.0,  rpps: goods,76.969,85.266,94.331,94.753,95.42,94.654,95.224,95.655,94.267,93.781,95.816,97.252,95.581,94.182,93.337,-2.347746937152781,ames,ia,ames
11180,"ames, ia (metropolitan statistical area)",3.0,  rpps: services: housing,67.181,90.609,86.981,90.331,86.366,104.041,92.87,81.812,80.19,89.09,83.686,92.294,82.124,72.443,65.712,-19.98441381325799,ames,ia,ames
11180,"ames, ia (metropolitan statistical area)",4.0,  rpps: services: utilities,79.662,80.185,86.831,78.21,79.699,80.983,81.293,81.196,83.512,85.499,96.278,97.285,96.455,98.334,97.707,1.2980146182157435,ames,ia,ames
11180,"ames, ia (metropolitan statistical area)",5.0,  rpps: services: other,93.585,94.585,94.262,90.76,93.067,92.449,92.34,89.311,88.338,87.64,96.3,96.439,96.493,95.294,92.045,-4.609660804410676,ames,ia,ames
11260,"anchorage, ak (metropolitan statistical area)",1.0,rpps: all items,106.497,111.877,106.339,106.8,107.244,106.488,104.878,105.709,108.069,107.79,106.421,104.812,103.188,106.611,103.067,-0.11726169709657065,anchorage,ak,anchorage
11260,"anchorage, ak (metropolitan statistical area)",2.0,  rpps: goods,108.062,109.855,107.798,107.092,105.811,104.257,102.698,105.789,109.799,111.021,103.295,98.92,99.738,109.139,104.149,4.422587178407429,anchorage,ak,anchorage
11260,"anchorage, ak (metropolitan statistical area)",3.0,  rpps: services: housing,122.419,148.426,127.333,127.073,137.838,147.3,132.08,135.565,129.645,126.09,117.233,116.063,99.659,113.763,112.895,13.281289196158891,anchorage,ak,anchorage
