county_code,county,msa_code,msa,csa_code,csa_title,msa_name,states,types,first_town,state_abbr,msa_short
25009,"essex, massachusetts",C1446,"Boston-Cambridge-Newton, MA-NH MSA",CS148,"Boston-Worcester-Providence, MA-RI-NH CSA",Boston-Cambridge-Newton,MA-NH,MSA,Boston,MA,"Boston, MA"
25013,"hampden, massachusetts",C4414,"Springfield, MA MSA",CS521,"Springfield-Amherst Town-Northampton, MA CSA",Springfield,MA,MSA,Springfield,MA,"Springfield, MA"
25015,"hampshire, massachusetts",C1120,"Amherst Town-Northampton, MA MSA",CS521,"Springfield-Amherst Town-Northampton, MA CSA",Amherst Town-Northampton,MA,MSA,Amherst Town,MA,"Amherst Town, MA"
25017,"middlesex, massachusetts",C1446,"Boston-Cambridge-Newton, MA-NH MSA",CS148,"Boston-Worcester-Providence, MA-RI-NH CSA",Boston-Cambridge-Newton,MA-NH,MSA,Boston,MA,"Boston, MA"
25021,"norfolk, massachusetts",C1446,"Boston-Cambridge-Newton, MA-NH MSA",CS148,"Boston-Worcester-Providence, MA-RI-NH CSA",Boston-Cambridge-Newton,MA-NH,MSA,Boston,MA,"Boston, MA"
25023,"plymouth, massachusetts",C1446,"Boston-Cambridge-Newton, MA-NH MSA",CS148,"Boston-Worcester-Providence, MA-RI-NH CSA",Boston-Cambridge-Newton,MA-NH,MSA,Boston,MA,"Boston, MA"
25025,"suffolk, massachusetts",C1446,"Boston-Cambridge-Newton, MA-NH MSA",CS148,"Boston-Worcester-Providence, MA-RI-NH CSA",Boston-Cambridge-Newton,MA-NH,MSA,Boston,MA,"Boston, MA"
25027,"worcester, massachusetts",C4934,"Worcester, MA MSA",CS148,"Boston-Worcester-Providence, MA-RI-NH CSA",Worcester,MA,MSA,Worcester,MA,"Worcester, MA"
26015,"barry, michigan",C2434,"Grand Rapids-Wyoming-Kentwood, MI MSA",CS266,"Grand Rapids-Wyoming, MI CSA",Grand Rapids-Wyoming-Kentwood,MI,MSA,Grand Rapids,MI,"Grand Rapids, MI"
26017,"bay, michigan",C1302,"Bay City, MI MSA",CS474,"Saginaw-Midland-Bay City, MI CSA",Bay City,MI,MSA,Bay City,MI,"Bay City, MI"
26019,"benzie, michigan",C4590,"Traverse City, MI MSA",,,Traverse City,MI,MSA,Traverse City,MI,"Traverse City, MI"
26021,"berrien, michigan",C3566,"Niles, MI MSA",CS515,"South Bend-Elkhart-Mishawaka, IN-MI CSA",Niles,MI,MSA,Niles,MI,"Niles, MI"
