county_code,county,msa_code,msa,csa_code,csa_title,msa_name,states,types,first_town,state_abbr,msa_short
20177,"shawnee, kansas",C4582,"Topeka, KS MSA",,,Topeka,KS,MSA,Topeka,KS,"Topeka, KS"
20191,"sumner, kansas",C4862,"Wichita, KS MSA",CS556,"Wichita-Arkansas City-Winfield, KS CSA",Wichita,KS,MSA,Wichita,KS,"Wichita, KS"
20197,"wabaunsee, kansas",C4582,"Topeka, KS MSA",,,Topeka,KS,MSA,Topeka,KS,"Topeka, KS"
20209,"wyandotte, kansas",C2814,"Kansas City, MO-KS MSA",CS312,"Kansas City-Overland Park-Kansas City, MO-KS CSA",Kansas City,MO-KS,MSA,Kansas City,MO,"Kansas City, MO"
21003,"allen, kentucky",C1454,"Bowling Green, KY MSA",CS150,"Bowling Green-Glasgow-Franklin, KY CSA",Bowling Green,KY,MSA,Bowling Green,KY,"Bowling Green, KY"
21007,"ballard, kentucky",C3714,"Paducah, KY-IL MSA",CS424,"Paducah-Mayfield, KY-IL CSA",Paducah,KY-IL,MSA,Paducah,KY,"Paducah, KY"
21015,"boone, kentucky",C1714,"Cincinnati, OH-KY-IN MSA",CS178,"Cincinnati-Wilmington, OH-KY-IN CSA",Cincinnati,OH-KY-IN,MSA,Cincinnati,OH,"Cincinnati, OH"
21017,"bourbon, kentucky",C3046,"Lexington-Fayette, KY MSA",CS336,"Lexington-Fayette--Richmond--Frankfort, KY CSA",Lexington-Fayette,KY,MSA,Lexington,KY,"Lexington, KY"
21019,"boyd, kentucky",C2658,"Huntington-Ashland, WV-KY-OH MSA",CS170,"Charleston-Huntington-Ashland, WV-OH-KY CSA",Huntington-Ashland,WV-KY-OH,MSA,Huntington,WV,"Huntington, WV"
21023,"bracken, kentucky",C1714,"Cincinnati, OH-KY-IN MSA",CS178,"Cincinnati-Wilmington, OH-KY-IN CSA",Cincinnati,OH-KY-IN,MSA,Cincinnati,OH,"Cincinnati, OH"
21029,"bullitt, kentucky",C3114,"Louisville-Jefferson County, KY-IN MSA",CS350,"Louisville-Jefferson County--Elizabethtown, KY-IN CSA",Louisville-Jefferson County,KY-IN,MSA,Louisville,KY,"Louisville, KY"
