regionname,inflation,vote_swing,msa_short
"tupelo, ms",,,
"tuscaloosa, al",35.242762525942965,3.2677407192962526,"tuscaloosa, al"
"twin falls, id",,2.117343143850281,"twin falls, id"
"tyler, tx",27.821060810388985,2.8356103938628974,"tyler, tx"
"ukiah, ca",,,
united states,32.61849859164278,,
"urban honolulu, hi",24.495534023057473,2.6174182286286984,"urban honolulu, hi"
"utica, ny",,4.293414604104562,"utica, ny"
"valdosta, ga",36.388006459044604,3.279737613906619,"valdosta, ga"
"vallejo, ca",18.393684970546925,3.392269960377392,"vallejo, ca"
"vicksburg, ms",,,
"victoria, tx",,2.4882875834283613,"victoria, tx"
"vineland, nj",,4.857796830781064,"vineland, nj"
"virginia beach, va",34.42669491607682,,
"visalia, ca",37.04832479283823,6.382710548025905,"visalia, ca"
"waco, tx",30.857684606009578,3.8025316896012185,"waco, tx"
"wahpeton, nd",,,
"walla walla, wa",,-0.12116557482588775,"walla walla, wa"
"warner robins, ga",42.40167302666555,-0.17574764706086432,"warner robins, ga"
"warrensburg, mo",27.730449256212392,,
"warsaw, in",,,
"washington, dc",27.2902717417704,,
"waterbury, ct",,,"waterbury, ct"
"waterloo, ia",21.836468415024914,3.682050455297076,"waterloo, ia"
"watertown, ny",,5.292752146899026,"watertown, ny"
"watertown, wi",,,
"wausau, wi",,0.48533328271846976,"wausau, wi"
"weatherford, ok",,,
"weirton, wv",,,
"wenatchee, wa",,0.6985410178346751,"wenatchee, wa"
"wheeling, wv",18.330011306339006,,
"whitewater, wi",,,
"wichita falls, tx",32.989026511801804,1.7989971599960963,"wichita falls, tx"
"wichita, ks",28.63986865562207,0.9553407078200848,"wichita, ks"
"wildwood, fl",,0.44280343767790775,"wildwood, fl"
"williamsport, pa",,0.14162660162704288,"williamsport, pa"
"williston, nd",57.93623487069196,,
"willmar, mn",,,
"wilmington, nc",38.24773494568648,1.2253786453081394,"wilmington, nc"
"wilson, nc",,,
"winchester, va",36.77727310166056,,
"winona, mn",,,
"winston, nc",38.86921771093288,0.507522688735329,"winston, nc"
"wisconsin rapids, wi",,,
"wooster, oh",,,
"worcester, ma",39.0094785517497,4.200401851628599,"worcester, ma"
"yakima, wa",,3.069489450607299,"yakima, wa"
"york, pa",30.352633708545333,0.3891633990019905,"york, pa"
"youngstown, oh",37.88178812120629,3.414893124045293,"youngstown, oh"
"yuba city, ca",28.51752294323987,5.148286040351269,"yuba city, ca"
"yuma, az",,7.345069900772172,"yuma, az"
"zanesville, oh",,,
