fips,msa,category,cumulative biden rpp percent change,year,rpp
12220,auburn-opelika,utilities,1.6698176352470049,2008,83.893
12220,auburn-opelika,other services,0.43105681453158506,2008,95.225
12260,augusta-richmond county,all items,2.5384049408039964,2008,91.031
12260,augusta-richmond county,goods,-0.291652241420919,2008,97.039
12260,augusta-richmond county,housing,-0.04483007953724644,2008,66.952
12260,augusta-richmond county,utilities,-0.3825669492161121,2008,89.449
12260,augusta-richmond county,other services,4.5370886488646835,2008,97.95
12420,austin-round rock-georgetown,all items,-2.3139956705249816,2008,99.535
12420,austin-round rock-georgetown,goods,-2.830737279335409,2008,97.109
12420,austin-round rock-georgetown,housing,1.5180235173167131,2008,109.983
12420,austin-round rock-georgetown,utilities,2.258932628120732,2008,99.678
12420,austin-round rock-georgetown,other services,-2.223362924492223,2008,98.365
12540,bakersfield,all items,4.193586982531695,2008,96.86
12540,bakersfield,goods,4.3525352247675615,2008,95.128
12540,bakersfield,housing,4.418440431756288,2008,97.153
12540,bakersfield,utilities,6.8256962165760635,2008,100.582
12540,bakersfield,other services,3.511164647440047,2008,97.632
12580,baltimore-columbia-towson,all items,-2.7606896027948675,2008,106.479
12580,baltimore-columbia-towson,goods,-1.0060460916336282,2008,99.984
12580,baltimore-columbia-towson,housing,-1.6311136146555236,2008,126.027
12580,baltimore-columbia-towson,utilities,-2.7980068991950957,2008,123.84
12580,baltimore-columbia-towson,other services,-3.822404023995216,2008,104.275
12620,bangor,all items,-0.671925811183719,2008,94.057
12620,bangor,goods,1.5743205907469808,2008,100.103
12620,bangor,housing,-20.916140937087004,2008,63.006
12620,bangor,utilities,2.085892327511307,2008,138.27
12620,bangor,other services,3.306435932335209,2008,101.028
12700,barnstable town,all items,7.669374821074236,2008,102.987
12700,barnstable town,goods,2.4420580026695853,2008,99.828
12700,barnstable town,housing,24.80927434615461,2008,106.768
12700,barnstable town,utilities,-3.854315143150141,2008,139.373
12700,barnstable town,other services,4.234627083107762,2008,101.662
12940,baton rouge,all items,-0.7887196986768819,2008,93.116
12940,baton rouge,goods,-0.7423936378345776,2008,96.462
12940,baton rouge,housing,-1.4315301350770522,2008,74.53
12940,baton rouge,utilities,8.04876458700046,2008,87.336
12940,baton rouge,other services,-2.0669083750966735,2008,97.615
12980,battle creek,all items,-1.5078480900958586,2008,94.66
12980,battle creek,goods,-1.9156228977800525,2008,99.033
12980,battle creek,housing,-7.402141555960365,2008,75.643
12980,battle creek,utilities,-5.841574268304864,2008,93.695
12980,battle creek,other services,0.25165210630766527,2008,100.171
13020,bay city,all items,-0.7943930499059103,2008,94.169
13020,bay city,goods,-1.9156228977800525,2008,99.033
13020,bay city,housing,-9.073840166592694,2008,68.04
13020,bay city,utilities,-6.120229385010874,2008,95.85
13020,bay city,other services,0.25165210630766527,2008,100.171
13140,beaumont-port arthur,all items,1.203951088101281,2008,93.352
13140,beaumont-port arthur,goods,-2.830737279335409,2008,97.109
13140,beaumont-port arthur,housing,16.512229199119954,2008,71.646
13140,beaumont-port arthur,utilities,2.4450934579439294,2008,101.027
13140,beaumont-port arthur,other services,-2.223362924492223,2008,98.365
13220,beckley,all items,5.7025842454434414,2008,83.426
13220,beckley,goods,-0.7828529940970356,2008,94.973
13220,beckley,housing,10.130677759569735,2008,51.302
13220,beckley,utilities,-2.506130680906667,2008,66.452
13220,beckley,other services,5.467687608527379,2008,95.626
13380,bellingham,all items,2.444190815181647,2008,96.103
13380,bellingham,goods,4.765376903224568,2008,95.381
13380,bellingham,housing,-0.919315580408436,2008,96.6
13380,bellingham,utilities,-7.2201342573483,2008,75.746
13380,bellingham,other services,3.2734312946783133,2008,98.101
13460,bend,all items,3.5326269358009275,2008,100.501
13460,bend,goods,4.47493747544534,2008,102.253
13460,bend,housing,2.4441153289855473,2008,97.985
13460,bend,utilities,-4.9399099711228045,2008,74.09
13460,bend,other services,4.1644250503118405,2008,102.465
13740,billings,all items,-0.4773735773725053,2008,94.937
13740,billings,goods,0.38924717717530183,2008,95.476
13740,billings,housing,9.467621669294697,2008,82.559
13740,billings,utilities,-8.31029476740516,2008,79.747
13740,billings,other services,-3.6548508043995365,2008,98.951
13780,binghamton,all items,-5.196532209015856,2008,97.272
13780,binghamton,goods,-2.126385449230643,2008,101.337
13780,binghamton,housing,-15.480701418855123,2008,74.577
13780,binghamton,utilities,-1.3177457943078885,2008,141.258
13780,binghamton,other services,-2.8322834091890994,2008,101.171
13820,birmingham-hoover,all items,-0.7501524257468785,2008,93.064
13820,birmingham-hoover,goods,0.2670453341245738,2008,96.625
13820,birmingham-hoover,housing,-7.864095452404639,2008,72.636
13820,birmingham-hoover,utilities,3.636082498751103,2008,93.621
13820,birmingham-hoover,other services,0.43105681453158506,2008,98.362
13900,bismarck,all items,-1.8660977869717925,2008,90.138
13900,bismarck,goods,-2.3575516297586474,2008,99.2
13900,bismarck,housing,6.730352303523033,2008,53.295
13900,bismarck,utilities,1.526271128133389,2008,78.903
13900,bismarck,other services,-4.0809352704228,2008,100.273
13980,blacksburg-christiansburg,all items,2.3327909942394793,2008,87.827
13980,blacksburg-christiansburg,goods,0.5196632162428773,2008,93.077
13980,blacksburg-christiansburg,housing,-2.1924403934291194,2008,65.921
13980,blacksburg-christiansburg,utilities,-0.34360799588118346,2008,77.638
13980,blacksburg-christiansburg,other services,4.695374062345471,2008,94.84
14010,bloomington,all items,-0.3398644857796359,2008,96.964
14010,bloomington,goods,-3.7716182007700723,2008,98.754
14010,bloomington,housing,3.6651991725454773,2008,83.714
14010,bloomington,utilities,6.909103015103259,2008,98.175
14010,bloomington,other services,0.1226868418362177,2008,100.013
14020,bloomington,all items,-0.4817729243616539,2008,94.325
14020,bloomington,goods,-1.0353156489077568,2008,95.117
14020,bloomington,housing,-0.9539671071161911,2008,83.608
14020,bloomington,utilities,-3.462432391337405,2008,87.031
14020,bloomington,other services,-0.19278294486202932,2008,98.853
14100,bloomsburg-berwick,all items,-2.490729498244349,2008,94.625
14100,bloomsburg-berwick,goods,-1.0706507976702841,2008,101.025
14100,bloomsburg-berwick,housing,-6.214418819345913,2008,66.073
14100,bloomsburg-berwick,utilities,-0.0231042927775902,2008,110.406
14100,bloomsburg-berwick,other services,-2.746527812748647,2008,101.318
14260,boise city,all items,0.6043844568548543,2008,95.231
14260,boise city,goods,0.46217030975914386,2008,95.117
14260,boise city,housing,15.951704706188535,2008,93.112
14260,boise city,utilities,-11.271626182186834,2008,70.184
14260,boise city,other services,-4.023210831721469,2008,98.248
14460,boston-cambridge-newton,all items,-0.40122770339398395,2008,107.889
14460,boston-cambridge-newton,goods,1.714053389760036,2008,97.992
14460,boston-cambridge-newton,housing,-4.05050846808429,2008,142.647
14460,boston-cambridge-newton,utilities,-5.918028095258389,2008,151.409
14460,boston-cambridge-newton,other services,0.12402892085224684,2008,105.973
14500,boulder,all items,-1.6946483752238946,2008,108.489
14500,boulder,goods,0.22594987453013748,2008,108.122
14500,boulder,housing,2.956180420689849,2008,145.682
14500,boulder,utilities,0.8896309105002624,2008,78.789
14500,boulder,other services,-3.1140077533300166,2008,101.182
14540,bowling green,all items,-0.17886287924519484,2008,86.581
14540,bowling green,goods,-0.31237094844289703,2008,95.298
14540,bowling green,housing,-2.7207226583503616,2008,57.264
14540,bowling green,utilities,4.795773740497351,2008,70.247
14540,bowling green,other services,0.4528976098224691,2008,95.368
14740,bremerton-silverdale-port orchard,all items,3.2977783687774798,2008,107.005
14740,bremerton-silverdale-port orchard,goods,4.765376903224568,2008,108.407
14740,bremerton-silverdale-port orchard,housing,4.655982648511874,2008,121.293
14740,bremerton-silverdale-port orchard,utilities,-7.71977096665543,2008,81.055
14740,bremerton-silverdale-port orchard,other services,3.2734312946783133,2008,103.485
14860,bridgeport-stamford-norwalk,all items,0.9728109455023517,2008,117.165
14860,bridgeport-stamford-norwalk,goods,2.1984233529488924,2008,117.765
14860,bridgeport-stamford-norwalk,housing,-5.064795217407464,2008,160.791
14860,bridgeport-stamford-norwalk,utilities,-12.152097462949007,2008,156.639
14860,bridgeport-stamford-norwalk,other services,2.559373963273023,2008,107.533
15180,brownsville-harlingen,all items,0.41611322041072185,2008,85.002
15180,brownsville-harlingen,goods,-2.830737279335409,2008,97.109
